state,precinct,percent_candidate,candidate_votes
Maine,Falmouth,68,6147
Massachusetts,Littleton,68,4474
Connecticut,Woodbridge,67,3855
Idaho,Blaine,67,8919
California,Santa Barbara,67,103902
Wyoming,Teton,67,9848
Vermont,Colchester,67,6452
Massachusetts,Gloucester,67,11572
Oregon,Hood River,67,8530
Hawaii,Hawaii,67,58683
North Carolina,Hertford,67,7077
Massachusetts,Northborough,67,6273
Massachusetts,Westford,67,10078
North Carolina,Mecklenburg,67,375503
Ohio,Cuyahoga,67,402315
Connecticut,New Britain,67,15936
Hawaii,Maui,67,47301
Massachusetts,Hingham,67,10403
Mississippi,Leflore,67,5444
Maine,Bath,67,3421
Virginia,Fredericksburg City,67,8454
Massachusetts,Brewster,66,4905
Massachusetts,Quincy,66,29956
Texas,El Paso,66,168801
South Carolina,Orangeburg,66,27250
Connecticut,Stamford,66,32477
New Jersey,Middlesex,66,141137
Massachusetts,Andover,66,13430
Virginia,Albemarle,66,42078
New Hampshire,Exeter,66,6820
Connecticut,Middletown,66,15508
New Hampshire,Newmarket,66,3953
Oregon,Washington,66,193029
Massachusetts,Reading,66,10791
Massachusetts,South Hadley,66,6587
Massachusetts,Lowell,66,24492
Connecticut,Guilford,66,8403
Massachusetts,Amesbury Town,65,6692
Connecticut,Wilton,65,7113
Texas,Dallas,65,597407
New Hampshire,Concord,65,15341
New Hampshire,Dover,65,12480
Michigan,Ingham,65,94221
Alabama,Montgomery,65,64065
Maine,Westbrook,65,7359
Massachusetts,Ipswich,65,6189
Virginia,Harrisonburg City,65,10868
California,Sacramento,65,219638
Maine,Kennebunk,65,5368
Ohio,Franklin,65,391584
Massachusetts,Westwood,65,6812
Connecticut,Fairfield,65,23040
California,Solano,65,112664
Utah,Summit,65,11733
Virginia,Newport News City,65,50319
Florida,Broward,65,617689
Kansas,Wyandotte,65,35566
Massachusetts,Marlborough,64,12332
Virginia,Manassas Park City,64,3913
South Carolina,Williamsburg,64,10282
Massachusetts,Longmeadow,64,6599
New Mexico,Rio Arriba,64,13597
Massachusetts,Falmouth,64,13911
Rhode Island,Middletown,64,5351
Connecticut,Windham,64,5365
Tennessee,Shelby,64,245208
Tennessee,Davidson,64,197846
