state,precinct,percent_candidate,candidate_votes
Arkansas,Woodruff,0,9
Vermont,Groton,0,2
Vermont,Middletown Springs,0,2
Arkansas,Lincoln,0,14
Mississippi,Wayne,0,36
Mississippi,Marshall,0,47
Colorado,Otero,0,34
Arkansas,Conway,0,31
Utah,Weber,0,250
Utah,Grand,0,18
Vermont,Londonderry,0,4
Kentucky,Menifee,0,11
Vermont,Rockingham,0,9
Minnesota,Stevens,0,18
Vermont,Huntington,0,5
Arkansas,Monroe,0,10
Colorado,San Juan,0,2
Vermont,South Burlington,0,45
Kentucky,Todd,0,19
Arkansas,Stone,0,21
Idaho,Butte,0,5
Vermont,Cornwall,0,3
Arkansas,Howard,0,17
Vermont,Grand Isle,0,5
Kentucky,Fayette,0,512
Vermont,Fairfield,0,4
Vermont,Rutland,0,28
Utah,Iron,0,67
Minnesota,Wilkin,0,12
Arkansas,Faulkner,0,189
Vermont,Pittsford,0,6
Vermont,Moretown,0,4
Utah,Piute,0,3
Mississippi,Yazoo,0,31
Arkansas,Baxter,0,72
Vermont,Colchester,0,33
Oklahoma,Okmulgee,0,49
Idaho,Bear Lake,0,11
Kentucky,Caldwell,0,22
Vermont,New Haven,0,4
Louisiana,Iberville,0,57
Oklahoma,Comanche,0,121
Oklahoma,Muskogee,0,85
Utah,Daggett,0,2
Oklahoma,Carter,0,66
Kentucky,Jessamine,0,88
Kentucky,Clay,0,22
Vermont,Chester,0,6
Vermont,Vergennes,0,5
Kentucky,Daviess,0,165
Utah,Kane,0,13
Arkansas,Carroll,0,39
Kentucky,Franklin,0,87
Minnesota,Blue Earth,0,120
Minnesota,Meeker,0,45
Minnesota,Chippewa,0,22
Kentucky,Mercer,0,39
Oklahoma,Craig,0,20
Vermont,St. Albans,0,10
Vermont,Washington,0,2
Arkansas,Little River,0,17
Mississippi,Clay,0,33
Vermont,Duxbury,0,3
Mississippi,Lee,0,104
Minnesota,Jackson,0,19
Arkansas,Sevier,0,17
Vermont,Weybridge,0,2
Oklahoma,Woods,0,12
Vermont,Berlin,0,5
Arkansas,Newton,0,13
Oklahoma,Logan,0,70
Oklahoma,Noble,0,16
Vermont,Burke,0,3
Oklahoma,Pittsburg,0,58
Kentucky,Warren,0,175
Mississippi,Yalobusha,0,21
Minnesota,Traverse,0,6
Vermont,Burlington,0,16
Minnesota,Lac qui Parle,0,13
Kentucky,Bourbon,0,31
Minnesota,Nobles,0,28
Oklahoma,Kiowa,0,11
Kentucky,Montgomery,0,41
Vermont,Waitsfield,0,4
Kentucky,Madison,0,140
Arkansas,Johnson,0,30
Oklahoma,Kay,0,55
Minnesota,Mower,0,62
Colorado,Rio Grande,0,20
Kentucky,Powell,0,17
Iowa,Worth,0,14
Idaho,Jefferson,0,45
Vermont,Concord,0,2
Vermont,Hardwick,0,5
Vermont,Dover,0,3
Vermont,Warren,0,4
Mississippi,Franklin,0,14
Kentucky,Carroll,0,13
Iowa,Webster,0,56
Colorado,Bent,0,7
Kentucky,Wayne,0,29
Vermont,Johnson,0,5
Arkansas,Sebastian,0,147
Vermont,Lincoln,0,3
Oklahoma,Garfield,0,70
Utah,Washington,0,272
Utah,Emery,0,15
Kentucky,Scott,0,90
Kentucky,Letcher,0,28
Kentucky,Green,0,18
Vermont,Fayston,0,3
Iowa,Taylor,0,10
Vermont,Barton,0,4
Kentucky,Rowan,0,31
Kentucky,Hardin,0,149
Utah,Sanpete,0,37
Oklahoma,McClain,0,59
Kentucky,Hancock,0,14
Oklahoma,Murray,0,18
Tennessee,Rutherford,0,439
Mississippi,Calhoun,0,17
Oklahoma,Stephens,0,58
Iowa,Wright,0,19
Minnesota,Pipestone,0,15
Kentucky,Johnson,0,31
Arkansas,Hot Spring,0,38
Arkansas,Pope,0,74
Colorado,Adams,0,710
Oklahoma,Garvin,0,33
Arkansas,Arkansas,0,19
Kentucky,Wolfe,0,9
Kentucky,Elliott,0,9
Colorado,Moffat,0,21
Idaho,Gem,0,30
Vermont,Glover,0,2
Idaho,Washington,0,16
Mississippi,Webster,0,16
Kentucky,Bell,0,30
Oklahoma,Okfuskee,0,12
Idaho,Kootenai,0,268
Louisiana,West Baton Rouge,0,42
Minnesota,Fillmore,0,36
Vermont,Irasburg,0,2
Louisiana,East Baton Rouge,0,618
Kentucky,Garrard,0,25
Kentucky,Oldham,0,112
Oklahoma,Grady,0,68
Louisiana,St. John the Baptist,0,63
Minnesota,Becker,0,57
Oklahoma,Washita,0,14
Kentucky,Hopkins,0,63
Idaho,Caribou,0,10
Idaho,Payette,0,33
Arkansas,Logan,0,24
Minnesota,Freeborn,0,49
Mississippi,Neshoba,0,34
Oklahoma,Custer,0,31
Colorado,Gilpin,0,12
Iowa,Decatur,0,11
Mississippi,Lawrence,0,19
Vermont,Highgate,0,5
Oklahoma,McCurtain,0,33
Kentucky,Lawrence,0,20
Mississippi,De Soto,0,215
Kentucky,Adair,0,25
Vermont,Monkton,0,4
Arkansas,St. Francis,0,20
Minnesota,Renville,0,23
Arkansas,Pike,0,12
Louisiana,Plaquemines,0,31
Vermont,Pownal,0,5
Oklahoma,Pawnee,0,19
Colorado,Pueblo,0,243
Mississippi,Madison,0,128
Mississippi,Simpson,0,28
Arkansas,Union,0,46
Louisiana,St. Bernard,0,49
Utah,Sevier,0,27
Louisiana,Caddo,0,290
Mississippi,Newton,0,24
Mississippi,Noxubee,0,11
Kentucky,Grayson,0,33
Kentucky,Kenton,0,224
Louisiana,Jefferson,0,531
Minnesota,Grant,0,10
Mississippi,Leake,0,23
Arkansas,Lawrence,0,16
Oklahoma,Sequoyah,0,42
Oklahoma,Wagoner,0,96
Kentucky,Campbell,0,133
Oklahoma,Creek,0,83
Colorado,Rio Blanco,0,10
Kentucky,Taylor,0,34
Arkansas,Polk,0,23
Idaho,Clearwater,0,12
Colorado,Cheyenne,0,3
Kentucky,Shelby,0,61
Minnesota,Kandiyohi,0,63
Mississippi,Monroe,0,39
Oklahoma,Harper,0,4
Minnesota,Winona,0,73
Vermont,Royalton,0,4
Kentucky,Marion,0,24
Mississippi,Pike,0,38
Tennessee,Lewis,0,15
Arkansas,Greene,0,43
Minnesota,Ramsey,0,787
Kentucky,Webster,0,16
Colorado,El Paso,0,957
Vermont,Orwell,0,2
Colorado,Las Animas,0,21
Iowa,Marshall,0,48
Colorado,Weld,0,436
Arkansas,Benton,0,323
Minnesota,Steele,0,55
Kentucky,Perry,0,28
Vermont,Montgomery,0,2
Mississippi,Lowndes,0,71
Minnesota,Martin,0,29
Mississippi,Harrison,0,160
Tennessee,Montgomery,0,201
Vermont,Thetford,0,5
Minnesota,Pennington,0,19
Vermont,Calais,0,3
Minnesota,Wadena,0,20
Kentucky,Ohio,0,29
Iowa,Story,0,132
Colorado,Eagle,0,74
Kentucky,Larue,0,19
Arkansas,Saline,0,148
Kentucky,Pendleton,0,18
Iowa,Fremont,0,10
Kentucky,Bracken,0,11
Oklahoma,Tillman,0,7
Tennessee,Warren,0,43
Louisiana,Madison,0,12
Minnesota,Lincoln,0,8
Minnesota,Hennepin,0,1932
Minnesota,Pope,0,18
Kentucky,Anderson,0,34
Colorado,Arapahoe,0,889
Oklahoma,Rogers,0,114
Mississippi,Marion,0,29
Mississippi,Scott,0,24
Oklahoma,Jackson,0,21
Kentucky,McCracken,0,83
Minnesota,Clearwater,0,12
Vermont,Hartford,0,16
Kentucky,Boyd,0,55
Mississippi,Jasper,0,22
Arkansas,White,0,78
Kentucky,Barren,0,51
Vermont,Middlebury,0,11
Minnesota,Houston,0,29
Idaho,Owyhee,0,12
Iowa,Winnebago,0,15
Vermont,Cavendish,0,2
Kentucky,Boone,0,163
Kentucky,Calloway,0,44
Minnesota,Cass,0,46
Oklahoma,Jefferson,0,6
Kentucky,Hart,0,21
Mississippi,Amite,0,15
Utah,Uintah,0,37
Vermont,Manchester,0,7
Minnesota,Le Sueur,0,42
Mississippi,Lamar,0,60
Minnesota,Polk,0,39
Minnesota,Lake,0,18
Kentucky,Leslie,0,12
Iowa,Buena Vista,0,20
Kentucky,Pulaski,0,78
Minnesota,Rice,0,88
Colorado,Costilla,0,5
Minnesota,Clay,0,79
Tennessee,Lake,0,5
Minnesota,Otter Tail,0,89
Minnesota,Mille Lacs,0,36
Oklahoma,Love,0,10
Kentucky,Marshall,0,43
Kentucky,Jackson,0,15
Colorado,Garfield,0,74
Kentucky,Estill,0,16
Mississippi,Lafayette,0,42
Minnesota,St. Louis,0,290
Colorado,Larimer,0,546
Mississippi,Carroll,0,11
Minnesota,Anoka,0,511
Louisiana,Red River,0,10
Arkansas,Izard,0,14
Mississippi,Clarke,0,17
Colorado,Park,0,29
Kentucky,Knox,0,32
Minnesota,Lyon,0,31
Vermont,Waterford,0,2
Vermont,Middlesex,0,3
Kentucky,Knott,0,15
Tennessee,Pickett,0,7
Idaho,Idaho,0,23
Kentucky,Metcalfe,0,12
Louisiana,West Feliciana,0,15
Kentucky,Muhlenberg,0,34
Kentucky,Henderson,0,49
Minnesota,Roseau,0,20
Minnesota,Dakota,0,619
Vermont,Derby,0,6
Mississippi,Jones,0,63
Colorado,Jefferson,0,895
Minnesota,Itasca,0,63
Idaho,Boundary,0,15
Mississippi,Jackson,0,108
Louisiana,Avoyelles,0,41
Kentucky,Ballard,0,10
Tennessee,Bedford,0,45
Colorado,Prowers,0,13
Louisiana,Tangipahoa,0,136
Kentucky,Henry,0,19
Mississippi,Hancock,0,41
Vermont,Enosburgh,0,3
Minnesota,Yellow Medicine,0,13
Kentucky,Breckinridge,0,24
Oklahoma,Lincoln,0,35
Kentucky,Meade,0,33
Oklahoma,Mayes,0,39
Iowa,Jackson,0,26
Iowa,Harrison,0,19
Colorado,Montezuma,0,36
Vermont,Norwich,0,6
Colorado,Conejos,0,10
Iowa,Lucas,0,10
Minnesota,Hubbard,0,30
Minnesota,Wright,0,187
Kentucky,Allen,0,37
Minnesota,Dodge,0,30
Kentucky,Trimble,0,10
Arkansas,Lonoke,0,71
Mississippi,Lauderdale,0,60
Arkansas,Prairie,0,8
Oklahoma,Major,0,8
Tennessee,Hamilton,0,393
Arkansas,Cleburne,0,29
Colorado,Jackson,0,2
Colorado,Grand,0,22
Tennessee,Marshall,0,34
Mississippi,Kemper,0,9
Minnesota,Red Lake,0,5
Minnesota,Douglas,0,55
Arkansas,Boone,0,39
Colorado,Huerfano,0,10
Utah,Beaver,0,7
Mississippi,Union,0,25
Oklahoma,Ottawa,0,26
Utah,Rich,0,3
Iowa,Lee,0,38
Minnesota,Todd,0,30
Kentucky,Fleming,0,16
Oklahoma,Hughes,0,11
Minnesota,Brown,0,33
Tennessee,Trousdale,0,9
Iowa,Louisa,0,12
Vermont,Underhill,0,5
Louisiana,St. Mary,0,52
Minnesota,Goodhue,0,64
Vermont,Sharon,0,2
Louisiana,Lafayette,0,256
Iowa,Jefferson,0,20
Colorado,La Plata,0,79
Vermont,Weathersfield,0,4
Iowa,Boone,0,34
Colorado,Broomfield,0,103
Iowa,Howard,0,11
Tennessee,Bradley,0,102
Iowa,Tama,0,20
Kentucky,Whitley,0,34
Colorado,Archuleta,0,20
Mississippi,Montgomery,0,11
Iowa,Des Moines,0,44
Louisiana,St. Charles,0,63
Minnesota,Aitkin,0,22
Minnesota,Nicollet,0,42
Oklahoma,Haskell,0,11
Oklahoma,Bryan,0,35
Minnesota,Isanti,0,53
Iowa,Black Hawk,0,146
Vermont,Ferrisburgh,0,4
Vermont,Jericho,0,8
Iowa,Polk,0,561
Colorado,San Miguel,0,11
Oklahoma,Texas,0,12
Minnesota,Redwood,0,18
Minnesota,Marshall,0,11
Vermont,Winooski,0,8
Louisiana,Ascension,0,134
Oklahoma,Beckham,0,17
Minnesota,Wabasha,0,28
Iowa,Dubuque,0,115
Kentucky,Bath,0,12
Utah,Duchesne,0,18
Iowa,Clay,0,19
Colorado,Summit,0,39
Kentucky,Graves,0,36
Arkansas,Clay,0,11
Louisiana,Rapides,0,125
Oklahoma,Dewey,0,5
Tennessee,Knox,0,466
Kentucky,Cumberland,0,7
Colorado,Fremont,0,53
Minnesota,Carlton,0,43
Idaho,Lemhi,0,10
Kentucky,Lincoln,0,23
Mississippi,Lincoln,0,30
Kentucky,Mason,0,26
Colorado,Dolores,0,3
Louisiana,Jackson,0,16
Colorado,Teller,0,35
Minnesota,Scott,0,182
Louisiana,Lincoln,0,40
Minnesota,Sherburne,0,115
Vermont,Marshfield,0,2
Kentucky,Casey,0,15
Kentucky,Bullitt,0,85
Tennessee,Rhea,0,28
Minnesota,Washington,0,342
Tennessee,Van Buren,0,6
Oklahoma,Woodward,0,16
Minnesota,Olmsted,0,187
Louisiana,Washington,0,40
Louisiana,St. Tammany,0,287
Utah,Millard,0,10
Oklahoma,McIntosh,0,17
Iowa,Buchanan,0,22
Iowa,Linn,0,259
Utah,Juab,0,12
Iowa,Washington,0,24
Vermont,Danville,0,3
Mississippi,Pontotoc,0,29
Arkansas,Crawford,0,49
Iowa,Johnson,0,170
Kentucky,Martin,0,8
Louisiana,St. Martin,0,55
Vermont,Shelburne,0,11
Kentucky,Clinton,0,10
Minnesota,Benton,0,45
Minnesota,Koochiching,0,14
Minnesota,Crow Wing,0,81
Tennessee,Haywood,0,15
Iowa,Cerro Gordo,0,48
Vermont,Arlington,0,3
Tennessee,Tipton,0,55
Colorado,Mesa,0,172
Oklahoma,Kingfisher,0,13
Colorado,Morgan,0,27
Minnesota,Sibley,0,17
Tennessee,Lauderdale,0,18
Colorado,Douglas,0,458
Kentucky,Clark,0,53
Arkansas,Garland,0,88
Arkansas,Columbia,0,17
Louisiana,Calcasieu,0,164
Tennessee,Maury,0,92
Mississippi,Rankin,0,105
Tennessee,Crockett,0,12
Tennessee,Blount,0,130
Kentucky,Laurel,0,55
Iowa,Iowa,0,19
Iowa,Scott,0,181
Iowa,Davis,0,8
Minnesota,Stearns,0,165
Kentucky,Simpson,0,17
Tennessee,Anderson,0,69
Mississippi,Wilkinson,0,7
Iowa,Mills,0,16
Kentucky,Nelson,0,45
Tennessee,Madison,0,83
Tennessee,Sequatchie,0,14
Iowa,Wayne,0,6
Idaho,Adams,0,5
Utah,Summit,0,35
Vermont,Montpelier,0,10
Colorado,Logan,0,20
Mississippi,Alcorn,0,30
Oklahoma,Delaware,0,33
Oklahoma,Le Flore,0,36
Minnesota,McLeod,0,40
Mississippi,Grenada,0,15
Iowa,Monona,0,9
Tennessee,Stewart,0,12
Iowa,Clinton,0,47
Iowa,Calhoun,0,10
Minnesota,Carver,0,126
Kentucky,Monroe,0,10
Mississippi,Prentiss,0,20
Vermont,Woodstock,0,4
Louisiana,St. Landry,0,78
Oklahoma,Latimer,0,8
Tennessee,Sumner,0,174
Kentucky,Lee,0,5
Colorado,Denver,0,619
Iowa,Woodbury,0,84
Colorado,Pitkin,0,22
Vermont,Castleton,0,4
Vermont,Stamford,0,1
Kentucky,Pike,0,47
Tennessee,Williamson,0,257
Vermont,Leicester,0,1
Iowa,Van Buren,0,7
Minnesota,Kanabec,0,17
Minnesota,Murray,0,9
Minnesota,Cottonwood,0,11
Colorado,Yuma,0,9
Kentucky,Spencer,0,21
Kentucky,Magoffin,0,10
Colorado,Gunnison,0,20
Louisiana,Iberia,0,60
Kentucky,Owen,0,10
Tennessee,Fayette,0,42
Tennessee,Cannon,0,12
Mississippi,George,0,20
Louisiana,St. James,0,23
Iowa,Jones,0,20
Louisiana,Claiborne,0,12
Tennessee,Sullivan,0,135
Arkansas,Van Buren,0,14
Vermont,Hartland,0,4
Oklahoma,Marshall,0,11
Iowa,Sac,0,10
Louisiana,Ouachita,0,125
Kentucky,Grant,0,20
Iowa,Muscatine,0,37
Kentucky,Logan,0,22
Iowa,Union,0,11
Kentucky,Washington,0,11
Tennessee,Robertson,0,60
Colorado,Montrose,0,44
Iowa,Pottawattamie,0,81
Tennessee,Washington,0,105
Arkansas,Fulton,0,9
Louisiana,Lafourche,0,80
Vermont,Coventry,0,1
Minnesota,Norman,0,6
Louisiana,Terrebonne,0,81
Kentucky,Robertson,0,2
Vermont,Newfane,0,2
Vermont,Bethel,0,2
Arkansas,Searcy,0,7
Minnesota,Swift,0,9
Colorado,Routt,0,29
Tennessee,Hickman,0,17
Iowa,Guthrie,0,11
Tennessee,Franklin,0,33
Arkansas,Sharp,0,13
Minnesota,Rock,0,9
Vermont,Benson,0,1
Iowa,Clarke,0,8
Iowa,Delaware,0,17
Louisiana,Bienville,0,12
Tennessee,Claiborne,0,22
Tennessee,Humphreys,0,14
Louisiana,Pointe Coupee,0,21
Arkansas,Miller,0,28
Iowa,Plymouth,0,24
Louisiana,Natchitoches,0,28
Tennessee,Unicoi,0,14
Kentucky,McLean,0,8
Tennessee,Polk,0,14
Iowa,Mahaska,0,19
Iowa,Adair,0,7
Colorado,Elbert,0,31
Kentucky,Rockcastle,0,13
Iowa,Wapello,0,26
Tennessee,Giles,0,22
Iowa,Kossuth,0,15
Tennessee,Scott,0,15
Mississippi,Tishomingo,0,15
Kentucky,Lyon,0,7
Iowa,Cass,0,12
Kentucky,Crittenden,0,7
Mississippi,Smith,0,12
Louisiana,Vermilion,0,45
Vermont,Elmore,0,1
Vermont,Orange,0,1
Colorado,Phillips,0,4
Iowa,Hancock,0,10
Louisiana,St. Helena,0,10
Colorado,Boulder,0,289
Iowa,Butler,0,13
Iowa,Lyon,0,11
Idaho,Lewis,0,3
Oklahoma,Ellis,0,3
Kentucky,Owsley,0,3
Iowa,Page,0,12
Tennessee,Henry,0,24
Colorado,Clear Creek,0,10
Louisiana,Acadia,0,45
Kentucky,Harrison,0,14
Tennessee,Morgan,0,13
Iowa,Winneshiek,0,19
Iowa,Fayette,0,16
Iowa,Pocahontas,0,6
Louisiana,Tensas,0,4
Iowa,Marion,0,30
Colorado,Delta,0,30
Tennessee,Obion,0,21
Vermont,Topsham,0,1
Vermont,Marlboro,0,1
Arkansas,Franklin,0,11
Mississippi,Perry,0,9
Kentucky,Greenup,0,28
Oklahoma,Choctaw,0,9
Colorado,Chaffee,0,21
Iowa,Dallas,0,86
Vermont,Vernon,0,2
Minnesota,Chisago,0,53
Louisiana,Allen,0,15
Louisiana,East Feliciana,0,16
Iowa,Warren,0,47
Colorado,Ouray,0,6
Iowa,Osceola,0,5
Tennessee,Hamblen,0,37
Louisiana,Livingston,0,98
Iowa,Jasper,0,31
Louisiana,Bossier,0,82
Vermont,Brattleboro,0,10
Minnesota,Pine,0,23
Iowa,Floyd,0,12
Oklahoma,Atoka,0,8
Arkansas,Nevada,0,5
Tennessee,Jefferson,0,35
